,human_genes,mouse_genes,mouse_read,mouse_inhuman,chick_genes,chick_read,chick_inhuman,mouse_CAPSON,macaque_genes,macaque_inchick,macaque_inhuman,macaque_inmouse
1777,CEP192,Cep192,True,True,CEP192,True,True,CEP192,CEP192,,,
1778,CEP250,Cep250,True,True,CEP250,True,True,CEP250,CEP250,,,
1779,CEP41,Cep41,True,True,CEP41,True,True,CEP41,CEP41,,,
1780,CEP44,Cep44,True,True,CEP44,True,True,CEP44,CEP44,,,
1783,CEP57L1,Cep57l1,True,True,CEP57L1,True,True,CEP57L1,CEP57L1,,,
1784,CEP63,Cep63,True,True,CEP63,True,True,CEP63,CEP63,,,
1785,CEP68,Cep68,True,True,CEP68,True,True,CEP68,CEP68,,,
1786,CEP70,Cep70,True,True,CEP70,True,True,CEP70,CEP70,,,
1787,CEP76,Cep76,True,True,CEP76,True,True,CEP76,CEP76,,,
1788,CEP78,Cep78,True,True,CEP78,True,True,CEP78,CEP78,,,
1790,CEP85,Cep85,True,True,CEP85,True,True,CEP85,CEP85,,,
1792,CEP89,Cep89,True,True,CEP89,True,True,CEP89,CEP89,,,
1795,CER1,Cer1,True,True,CER1,True,True,CER1,CER1,,,
1796,CERCAM,Cercam,True,True,CERCAM,True,True,CERCAM,CERCAM,,,
1797,CERK,Cerk,True,True,CERK,True,True,CERK,CERK,,,
1799,CERS2,Cers2,True,True,CERS2,True,True,CERS2,CERS2,,,
1800,CERS3,Cers3,True,True,CERS3,True,True,CERS3,CERS3,,,
1801,CERS5,Cers5,True,True,CERS5,True,True,CERS5,CERS5,,,
1803,CETN1,Cetn1,True,True,CETN1,False,True,CETN1,CETN1,,,
1825,CFD,Cfd,True,True,CFD,True,True,CFD,CFD,,,
1826,CFDP1,Cfdp1,True,True,CFDP1,True,True,CFDP1,CFDP1,,,
1830,CFTR,Cftr,True,True,CFTR,True,True,CFTR,CFTR,,,
1831,CGA,Cga,True,True,CGA,True,True,CGA,CGA,,,
1833,CGGBP1,Cggbp1,True,True,CGGBP1,True,True,CGGBP1,CGGBP1,,,
1834,CGN,Cgn,True,True,CGN,False,True,CGN,CGN,,,
1835,CGNL1,Cgnl1,True,True,CGNL1,True,True,CGNL1,CGNL1,,,
1836,CGRRF1,Cgrrf1,True,True,CGRRF1,True,True,CGRRF1,CGRRF1,,,
1837,CH25H,Ch25h,True,True,CH25H,True,True,CH25H,CH25H,,,
1838,CHAC1,Chac1,True,True,CHAC1,True,True,CHAC1,CHAC1,,,
1839,CHAC2,Chac2,True,True,CHAC2,True,True,CHAC2,CHAC2,,,
1840,CHADL,Chadl,True,True,CHADL,True,True,CHADL,CHADL,,,
1841,CHAF1A,Chaf1a,True,True,CHAF1A,True,True,CHAF1A,CHAF1A,,,
1842,CHAF1B,Chaf1b,True,True,CHAF1B,True,True,CHAF1B,CHAF1B,,,
1843,CHAMP1,Champ1,True,True,CHAMP1,True,True,CHAMP1,CHAMP1,,,
1844,CHAT,Chat,True,True,CHAT,True,True,CHAT,CHAT,,,
1846,CHCHD10,Chchd10,True,True,CHCHD10,True,True,CHCHD10,CHCHD10,,,
1847,CHCHD2,Chchd2,True,True,CHCHD2P9,True,True,CHCHD2,CHCHD2,,,
1848,CHCHD3,Chchd3,True,True,CHCHD3,True,True,CHCHD3,CHCHD3,,,
1849,CHCHD4,Chchd4,True,True,CHCHD4,True,True,CHCHD4,CHCHD4,,,
1850,CHCHD5,Chchd5,True,True,CHCHD5,True,True,CHCHD5,CHCHD5,,,
1851,CHD1,Chd1,True,True,CHD1Z,True,True,CHD1,CHD1,,,
1853,CHD2,Chd2,True,True,CHD2,True,True,CHD2,CHD2,,,
1854,CHD5,Chd5,True,True,CHD5,True,True,CHD5,CHD5,,,
1855,CHD7,Chd7,True,True,CHD7,True,True,CHD7,CHD7,,,
1857,CHDH,Chdh,True,True,CHDH,True,True,CHDH,CHDH,,,
1859,CHEK2,Chek2,True,True,CHEK2,True,True,CHEK2,CHEK2,,,
1860,CHERP,Cherp,True,True,CHERP,True,True,CHERP,CHERP,,,
1861,CHFR,Chfr,True,True,CHFR,True,True,CHFR,CHFR,,,
1863,CHGB,Chgb,True,True,CHGB,True,True,CHGB,CHGB,,,
1872,CHKA,Chka,True,True,CHKA,True,True,CHKA,CHKA,,,
1873,CHL1,Chl1,True,True,CHL1,True,True,CHL1,CHL1,,,
1874,CHM,Chm,True,True,CHM,True,True,CHM,CHM,,,
1875,CHMP1A,Chmp1a,True,True,CHMP1A,True,True,CHMP1A,CHMP1A,,,
1877,CHMP1B,Chmp1b,True,True,CHMP1B,True,True,CHMP1B,CHMP1B,,,
1878,CHMP2A,Chmp2a,True,True,CHMP2A,True,True,CHMP2A,CHMP2A,,,
1879,CHMP2B,Chmp2b,True,True,CHMP2B,True,True,CHMP2B,CHMP2B,,,
1880,CHMP4B,Chmp4b,True,True,CHMP4B,True,True,CHMP4B,CHMP4B,,,
1881,CHMP4C,Chmp4c,True,True,CHMP4C,True,True,CHMP4C,CHMP4C,,,
1882,CHMP5,Chmp5,True,True,CHMP5,True,True,CHMP5,CHMP5,,,
1884,CHMP7,Chmp7,True,True,CHMP7,True,True,CHMP7,CHMP7,,,
1885,CHN1,Chn1,True,True,CHN1,True,True,CHN1,CHN1,,,
1886,CHODL,Chodl,True,True,CHODL,True,True,CHODL,CHODL,,,
1887,CHORDC1,Chordc1,True,True,CHORDC1,True,True,CHORDC1,CHORDC1,,,
1888,CHP1,Chp1,True,True,CHP1,True,True,CHP1,CHP1,,,
1890,CHPF2,Chpf2,True,True,CHPF2,True,True,CHPF2,CHPF2,,,
1891,CHPT1,Chpt1,True,True,CHPT1,True,True,CHPT1,CHPT1,,,
1892,CHRAC1,Chrac1,True,True,CHRAC1,True,True,CHRAC1,CHRAC1,,,
1893,CHRD,Chrd,True,True,CHRD,True,True,CHRD,CHRD,,,
1894,CHRDL1,Chrdl1,True,True,CHRDL1,True,True,CHRDL1,CHRDL1,,,
1895,CHRDL2,Chrdl2,True,True,CHRDL2,True,True,CHRDL2,CHRDL2,,,
1896,CHRFAM7A,Chrna7,True,True,CHRNA7,True,True,CHRNA7,CHRNA7,,,
1897,CHRM2,Chrm2,True,True,CHRM2,True,True,CHRM2,CHRM2,,,
1898,CHRM3,Chrm3,True,True,CHRM3,True,True,CHRM3,CHRM3,,,
1899,CHRM4,Chrm4,True,True,CHRM4,True,True,CHRM4,CHRM4,,,
1900,CHRNA1,Chrna1,True,True,CHRNA1,True,True,CHRNA1,CHRNA1,,,
1901,CHRNA10,Chrna10,True,True,CHRNA10,False,True,CHRNA10,CHRNA10,,,
1902,CHRNA2,Chrna2,True,True,CHRNA2,True,True,CHRNA2,CHRNA2,,,
1903,CHRNA3,Chrna3,True,True,CHRNA3,True,True,CHRNA3,CHRNA3,,,
1904,CHRNA4,Chrna4,True,True,CHRNA4,True,True,CHRNA4,CHRNA4,,,
1905,CHRNA5,Chrna5,True,True,CHRNA5,True,True,CHRNA5,CHRNA5,,,
1906,CHRNA6,Chrna6,True,True,CHRNA6,True,True,CHRNA6,CHRNA6,,,
1907,CHRNA9,Chrna9,True,True,CHRNA9,True,True,CHRNA9,CHRNA9,,,
1909,CHRNB3,Chrnb3,True,True,CHRNB3,True,True,CHRNB3,CHRNB3,,,
1910,CHRNB4,Chrnb4,True,True,CHRNB4,True,True,CHRNB4,CHRNB4,,,
1911,CHRND,Chrnd,True,True,CHRND,True,True,CHRND,CHRND,,,
1912,CHRNG,Chrng,True,True,CHRNG,True,True,CHRNG,CHRNG,,,
1913,CHST1,Chst1,True,True,CHST1,True,True,CHST1,CHST1,,,
1914,CHST10,Chst10,True,True,CHST10,True,True,CHST10,CHST10,,,
1915,CHST11,Chst11,True,True,CHST11,True,True,CHST11,CHST11,,,
1916,CHST12,Chst12,True,True,CHST12,True,True,CHST12,CHST12,,,
1917,CHST13,Chst13,True,True,CHST13,True,True,CHST13,CHST13,,,
1918,CHST14,Chst14,True,True,CHST14,True,True,CHST14,CHST14,,,
1919,CHST15,Chst15,True,True,CHST15,True,True,CHST15,CHST15,,,
1920,CHST2,Chst2,True,True,CHST2,True,True,CHST2,CHST2,,,
1921,CHST3,Chst3,True,True,CHST3,True,True,CHST3,CHST3,,,
1922,CHST7,Chst7,True,True,CHST7,True,True,CHST7,CHST7,,,
1923,CHST8,Chst8,True,True,CHST8,True,True,CHST8,CHST8,,,
1924,CHST9,Chst9,True,True,CHST9,True,True,CHST9,CHST9,,,
1925,CHSY1,Chsy1,True,True,CHSY1,True,True,CHSY1,CHSY1,,,
1926,CHSY3,Chsy3,True,True,CHSY3,True,True,CHSY3,CHSY3,,,
1927,CHTF18,Chtf18,True,True,CHTF18,True,True,CHTF18,CHTF18,,,
1928,CHTF8,Chtf8,True,True,CHTF8,True,True,CHTF8,CHTF8,,,
1929,CHUK,Chuk,True,True,CHUK,True,True,CHUK,CHUK,,,
1930,CHURC1,Churc1,True,True,CHURC1,True,True,CHURC1,CHURC1,,,
1931,CIAO1,Ciao1,True,True,CIAO1,True,True,CIAO1,CIAO1,,,
1932,CIAPIN1,Ciapin1,True,True,CIAPIN1,True,True,CIAPIN1,CIAPIN1,,,
1933,CIB1,Cib1,True,True,CIB4,True,True,CIB1,CIB4,,,
1934,CIB2,Cib2,True,True,CIB2,True,True,CIB2,CIB2,,,
1935,CIB3,Cib3,True,True,CIB3,True,True,CIB3,CIB3,,,
1936,CIDEA,Cidea,True,True,CIDEA,True,True,CIDEA,CIDEA,,,
1937,CIDEC,Cidec,True,True,CIDEC,True,True,CIDEC,CIDEC,,,
1938,CILP,Cilp,True,True,CILP,True,True,CILP,CILP,,,
1939,CILP2,Cilp2,True,True,CILP2,True,True,CILP2,CILP2,,,
1941,CIP2A,Cip2a,True,True,KIAA1524,True,True,CIP2A,KIAA1524,,,
1943,CIR1,Cir1,True,True,CIR1,True,True,CIR1,CIR1,,,
1944,CIRBP,Cirbp,True,True,RBM3,True,True,CIRBP,CIRBP,,,
1945,CISD1,Cisd1,True,True,CISD1,True,True,CISD1,CISD1,,,
1947,CISH,Cish,True,True,CISH,True,True,CISH,CISH,,,
1948,CIT,Cit,True,True,CIT,True,True,CIT,CIT,,,
1949,CITED2,Cited2,True,True,CITED2,True,True,CITED2,CITED2,,,
1950,CITED4,Cited4,True,True,CITED4,True,True,CITED4,CITED4,,,
1951,CKAP2,Ckap2,True,True,CKAP2,True,True,CKAP2,CKAP2,,,
1953,CKAP4,Ckap4,True,True,CKAP4,True,True,CKAP4,CKAP4,,,
1954,CKAP5,Ckap5,True,True,CKAP5,True,True,CKAP5,CKAP5,,,
1955,CKB,Ckb,True,True,CKB,True,True,CKB,CKB,,,
1956,CKLF,Cklf,True,True,CKLF,True,True,CKLF,CKLF,,,
1957,CKMT2,Ckmt2,True,True,CKMT2,True,True,CKMT2,CKMT2,,,
1959,CKS1B,Cks1b,True,True,CKS1B,True,True,CKS1B,CKS1B,,,
1960,CKS2,Cks2,True,True,CKS2,True,True,CKS2,CKS2,,,
1961,CLASP1,Clasp1,True,True,CLASP1,True,True,CLASP1,CLASP1,,,
1964,CLCA1,Clca1,True,True,CLCA1,True,True,CLCA1,CLCA1,,,
1965,CLCA2,Clca2,True,True,CLCA2,True,True,CLCA2,CLCA2,,,
1966,CLCC1,Clcc1,True,True,CLCC1,True,True,CLCC1,CLCC1,,,
1967,CLCF1,Clcf1,True,True,CLCF1,True,True,CLCF1,CLCF1,,,
1968,CLCN1,Clcn1,True,True,CLCN1,True,True,CLCN1,CLCN1,,,
1969,CLCN2,Clcn2,True,True,CLCN2,True,True,CLCN2,CLCN2,,,
1970,CLCN3,Clcn3,True,True,CLCN3,True,True,CLCN3,CLCN3,,,
1971,CLCN4,Clcn4,True,True,CLCN4,True,True,CLCN4,CLCN4,,,
1972,CLCN5,Clcn5,True,True,CLCN5,True,True,CLCN5,CLCN5,,,
1973,CLCN6,Clcn6,True,True,CLCN6,True,True,CLCN6,CLCN6,,,
1974,CLCN7,Clcn7,True,True,CLCN7,True,True,CLCN7,CLCN7,,,
1975,CLDN1,Cldn1,True,True,CLDN1,True,True,CLDN1,CLDN1,,,
1976,CLDN10,Cldn10,True,True,CLDN10,True,True,CLDN10,CLDN10,,,
1977,CLDN12,Cldn12,True,True,CLDN12,True,True,CLDN12,CLDN12,,,
1978,CLDN14,Cldn14,True,True,CLDN14,True,True,CLDN14,CLDN14,,,
1979,CLDN16,Cldn16,True,True,CLDN16,True,True,CLDN16,CLDN16,,,
1980,CLDN18,Cldn18,True,True,CLDN18,True,True,CLDN18,CLDN18,,,
1981,CLDN19,Cldn19,True,True,CLDN19,True,True,CLDN19,CLDN19,,,
1982,CLDN2,Cldn2,True,True,CLDN2,True,True,CLDN2,CLDN2,,,
1983,CLDN20,Cldn20,True,True,CLDN20,True,True,CLDN20,CLDN20,,,
1984,CLDN3,Cldn3,True,True,CLDN3,True,True,CLDN3,CLDN3,,,
1985,CLDN5,Cldn5,True,True,CLDN5,True,True,CLDN5,CLDN5,,,
1986,CLDND1,Cldnd1,True,True,CLDND1,True,True,CLDND1,CLDND1,,,
1987,CLEC16A,Clec16a,True,True,CLEC16A,True,True,CLEC16A,CLEC16A,,,
1988,CLEC2D,Clec2d,True,True,BLEC1,True,True,CLEC2D,CLEC2D,,,
1993,CLEC3A,Clec3a,True,True,CLEC3A,True,True,CLEC3A,CLEC3A,,,
1994,CLEC3B,Clec3b,True,True,CLEC3B,True,True,CLEC3B,CLEC3B,,,
1996,CLIC3,Clic3,True,True,CLIC3,True,True,CLIC3,CLIC3,,,
1998,CLIC5,Clic5,True,True,CLIC5,True,True,CLIC5,CLIC5,,,
1999,CLIC6,Clic6,True,True,CLIC6,True,True,CLIC6,CLIC6,,,
2000,CLINT1,Clint1,True,True,CLINT1,True,True,CLINT1,CLINT1,,,
2002,CLIP2,Clip2,True,True,CLIP2,True,True,CLIP2,CLIP2,,,
2003,CLIP4,Clip4,True,True,CLIP4,True,True,CLIP4,CLIP4,,,
2004,CLK1,Clk1,True,True,CLK1,True,True,CLK1,CLK1,,,
2005,CLK2,Clk2,True,True,CLK2,True,True,CLK2,CLK2,,,
2008,CLMN,Clmn,True,True,CLMN,True,True,CLMN,CLMN,,,
2009,CLMP,Clmp,True,True,CLMP,True,True,CLMP,CLMP,,,
2010,CLN5,Cln5,True,True,CLN5,True,True,CLN5,CLN5,,,
2011,CLN6,Cln6,True,True,CLN6,True,True,CLN6,CLN6,,,
2012,CLN8,Cln8,True,True,CLN8,True,True,CLN8,CLN8,,,
2013,CLNS1A,Clns1a,True,True,CLNS1A,True,True,CLNS1A,CLNS1A,,,
2014,CLOCK,Clock,True,True,CLOCK,True,True,CLOCK,CLOCK,,,
2015,CLP1,Clp1,True,True,CLP1,True,True,CLP1,CLP1,,,
2016,CLPS,Clps,True,True,CLPS,True,True,CLPS,CLPS,,,
2017,CLPTM1L,Clptm1l,True,True,CLPTM1L,True,True,CLPTM1L,CLPTM1L,,,
2018,CLPX,Clpx,True,True,CLPX,True,True,CLPX,CLPX,,,
2019,CLRN1,Clrn1,True,True,CLRN1,True,True,CLRN1,CLRN1,,,
2020,CLRN2,Clrn2,True,True,CLRN2,True,True,CLRN2,CLRN2,,,
2021,CLRN3,Clrn3,True,True,CLRN3,True,True,CLRN3,CLRN3,,,
2022,CLSPN,Clspn,True,True,CLSPN,True,True,CLSPN,CLSPN,,,
2023,CLSTN1,Clstn1,True,True,CLSTN1,True,True,CLSTN1,CLSTN1,,,
2025,CLSTN3,Clstn3,True,True,CLSTN3,True,True,CLSTN3,CLSTN3,,,
2026,CLTA,Clta,True,True,CLTA,True,True,CLTA,CLTA,,,
2027,CLTB,Cltb,True,True,CLTB,True,True,CLTB,CLTB,,,
2030,CLUH,Cluh,True,True,CLUH,True,True,CLUH,CLUH,,,
2032,CLVS2,Clvs2,True,True,CLVS2,True,True,CLVS2,CLVS2,,,
2033,CLYBL,Clybl,True,True,CLYBL,True,True,CLYBL,CLYBL,,,
2034,CMAS,Cmas,True,True,CMAS,True,True,CMAS,CMAS,,,
2035,CMC2,Cmc2,True,True,CMC2,True,True,CMC2,CMC2,,,
2038,CMIP,Cmip,True,True,CMIP,True,True,CMIP,CMIP,,,
2039,CMKLR1,Cmklr1,True,True,CMKLR1,True,True,CMKLR1,CMKLR1,,,
2040,CMPK1,Cmpk1,True,True,CMPK1,False,True,CMPK1,CMPK1,,,
2042,CMSS1,Cmss1,True,True,CMSS1,True,True,CMSS1,CMSS1,,,
2043,CMTM3,Cmtm3,True,True,CMTM3,True,True,CMTM3,CMTM3,,,
2044,CMTM4,Cmtm4,True,True,CMTM4,True,True,CMTM4,CMTM4,,,
2046,CMTM7,Cmtm7,True,True,CMTM7,True,True,CMTM7,CMTM7,,,
2047,CMTM8,Cmtm8,True,True,CMTM8,True,True,CMTM8,CMTM8,,,
2048,CMTR1,Cmtr1,True,True,CMTR1,True,True,CMTR1,CMTR1,,,
2049,CMTR2,Cmtr2,True,True,CMTR2,True,True,CMTR2,CMTR2,,,
2050,CNDP1,Cndp1,True,True,CNDP1,True,True,CNDP1,CNDP1,,,
2052,CNEP1R1,Cnep1r1,True,True,CNEP1R1,True,True,CNEP1R1,CNEP1R1,,,
2053,CNGA1,Cnga1,True,True,CNGA1,True,True,CNGA1,CNGA1,,,
2054,CNGA2,Cnga2,True,True,CNGA2,True,True,CNGA2,CNGA2,,,
2055,CNGA3,Cnga3,True,True,CNGA3,True,True,CNGA3,CNGA3,,,
2056,CNGB3,Cngb3,True,True,CNGB3,True,True,CNGB3,CNGB3,,,
2057,CNIH1,Cnih1,True,True,CNIH1,True,True,CNIH1,CNIH1,,,
2058,CNIH3,Cnih3,True,True,CNIH3,True,True,CNIH3,CNIH3,,,
2059,CNIH4,Cnih4,True,True,CNIH4,True,True,CNIH4,CNIH4,,,
2060,CNKSR1,Cnksr1,True,True,CNKSR1,True,True,CNKSR1,CNKSR1,,,
2061,CNKSR2,Cnksr2,True,True,CNKSR2,True,True,CNKSR2,CNKSR2,,,
2062,CNMD,Cnmd,True,True,LECT1,True,True,CNMD,LECT1,,,
2063,CNN1,Cnn1,True,True,CNN1,True,True,CNN1,CNN1,,,
2064,CNN2,Cnn2,True,True,CNN2,True,True,CNN2,CNN2,,,
2065,CNN3,Cnn3,True,True,CNN3,True,True,CNN3,CNN3,,,
2067,CNNM2,Cnnm2,True,True,CNNM2,True,True,CNNM2,CNNM2,,,
2068,CNNM4,Cnnm4,True,True,CNNM4,True,True,CNNM4,CNNM4,,,
2069,CNOT1,Cnot1,True,True,CNOT1,True,True,CNOT1,CNOT1,,,
2070,CNOT10,Cnot10,True,True,CNOT10,True,True,CNOT10,CNOT10,,,
2071,CNOT11,Cnot11,True,True,CNOT11,True,True,CNOT11,CNOT11,,,
2072,CNOT2,Cnot2,True,True,CNOT2,True,True,CNOT2,CNOT2,,,
2073,CNOT4,Cnot4,True,True,CNOT4,True,True,CNOT4,CNOT4,,,
2074,CNOT6,Cnot6,True,True,CNOT6,True,True,CNOT6,CNOT6,,,
2075,CNOT6L,Cnot6l,True,True,CNOT6L,True,True,CNOT6L,CNOT6L,,,
2077,CNOT8,Cnot8,True,True,CNOT8,True,True,CNOT8,CNOT8,,,
2080,CNPPD1,Cnppd1,True,True,CNPPD1,True,True,CNPPD1,CNPPD1,,,
2081,CNPY3,Cnpy3,True,True,CNPY3,True,True,CNPY3,CNPY3,,,
2082,CNR1,Cnr1,True,True,CNR1,True,True,CNR1,CNR1,,,
2083,CNR2,Cnr2,True,True,CNR2,True,True,CNR2,CNR2,,,
2084,CNRIP1,Cnrip1,True,True,CNRIP1,True,True,CNRIP1,CNRIP1,,,
2085,CNST,Cnst,True,True,CNST,True,True,CNST,CNST,,,
2086,CNTD1,Cntd1,True,True,CNTD1,True,True,CNTD1,CNTD1,,,
2087,CNTF,Cntf,True,True,CNTF,True,True,CNTF,CNTF,,,
2088,CNTFR,Cntfr,True,True,CNTFR,True,True,CNTFR,CNTFR,,,
2089,CNTLN,Cntln,True,True,CNTLN,True,True,CNTLN,CNTLN,,,
2090,CNTN1,Cntn1,True,True,CNTN1,True,True,CNTN1,CNTN1,,,
2091,CNTN2,Cntn2,True,True,CNTN2,True,True,CNTN2,CNTN2,,,
2092,CNTN3,Cntn3,True,True,CNTN3,True,True,CNTN3,CNTN3,,,
2093,CNTN4,Cntn4,True,True,CNTN4,True,True,CNTN4,CNTN4,,,
2094,CNTN5,Cntn5,True,True,CNTN5,True,True,CNTN5,CNTN5,,,
2095,CNTN6,Cntn6,True,True,CNTN6,True,True,CNTN6,CNTN6,,,
2096,CNTNAP1,Cntnap1,True,True,CNTNAP1,True,True,CNTNAP1,CNTNAP1,,,
2097,CNTNAP2,Cntnap2,True,True,CNTNAP2,True,True,CNTNAP2,CNTNAP2,,,
2101,CNTRL,Cntrl,True,True,CNTRL,True,True,CNTRL,CNTRL,,,
2106,COASY,Coasy,True,True,COASY,True,True,COASY,COASY,,,
2107,COBL,Cobl,True,True,COBL,True,True,COBL,COBL,,,
2108,COBLL1,Cobll1,True,True,COBLL1,True,True,COBLL1,COBLL1,,,
2112,COG3,Cog3,True,True,COG3,True,True,COG3,COG3,,,
2114,COG5,Cog5,True,True,COG5,True,True,COG5,COG5,,,
2115,COG6,Cog6,True,True,COG6,True,True,COG6,COG6,,,
2116,COG7,Cog7,True,True,COG7,True,True,COG7,COG7,,,
2117,COL12A1,Col12a1,True,True,COL12A1,True,True,COL12A1,COL12A1,,,
2118,COL13A1,Col13a1,True,True,COL13A1,True,True,COL13A1,COL13A1,,,
2119,COL14A1,Col14a1,True,True,COL14A1,True,True,COL14A1,COL14A1,,,
2120,COL17A1,Col17a1,True,True,COL17A1,True,True,COL17A1,COL17A1,,,
2121,COL18A1,Col18a1,True,True,COL18A1,False,True,COL18A1,COL18A1,,,
2122,COL1A1,Col1a1,True,True,COL1A1,True,True,COL1A1,COL1A1,,,
2123,COL1A2,Col1a2,True,True,COL1A2,False,True,COL1A2,COL1A2,,,
2124,COL20A1,Col20a1,True,True,COL20A1,True,True,COL20A1,COL20A1,,,
2125,COL22A1,Col22a1,True,True,COL22A1,True,True,COL22A1,COL22A1,,,
2126,COL25A1,Col25a1,True,True,COL25A1,True,True,COL25A1,COL25A1,,,
2127,COL26A1,Col26a1,True,True,COL26A1,True,True,COL26A1,COL26A1,,,
2128,COL28A1,Col28a1,True,True,COL28A1,True,True,COL28A1,COL28A1,,,
2129,COL2A1,Col2a1,True,True,COL2A1,True,True,COL2A1,COL2A1,,,
2130,COL3A1,Col3a1,True,True,COL3A1,False,True,COL3A1,COL3A1,,,
2131,COL4A1,Col4a1,True,True,COL4A1,True,True,COL4A1,COL4A1,,,
2132,COL4A2,Col4a2,True,True,COL4A2,False,True,COL4A2,COL4A2,,,
2133,COL5A1,Col5a1,True,True,COL5A1,True,True,COL5A1,COL5A1,,,
2134,COL5A2,Col5a2,True,True,COL5A2,True,True,COL5A2,COL5A2,,,
2135,COL6A1,Col6a1,True,True,COL6A1,True,True,COL6A1,COL6A1,,,
2136,COL6A2,Col6a2,True,True,COL6A2,True,True,COL6A2,COL6A2,,,
2137,COL6A3,Col6a3,True,True,COL6A3,True,True,COL6A3,COL6A3,,,
2138,COL8A1,Col8a1,True,True,COL8A1,True,True,COL8A1,COL8A1,,,
2139,COL8A2,Col8a2,True,True,COL8A2,True,True,COL8A2,COL8A2,,,
2140,COL9A1,Col9a1,True,True,COL9A1,True,True,COL9A1,COL9A1,,,
2141,COL9A2,Col9a2,True,True,COL9A2,False,True,COL9A2,COL9A2,,,
2142,COL9A3,Col9a3,True,True,COL9A3,True,True,COL9A3,COL9A3,,,
2143,COLEC10,Colec10,True,True,COLEC10,True,True,COLEC10,COLEC10,,,
2145,COLEC12,Colec12,True,True,COLEC12,True,True,COLEC12,COLEC12,,,
2147,COLQ,Colq,True,True,COLQ,True,True,COLQ,COLQ,,,
2148,COMMD1,Commd1,True,True,COMMD1,True,True,COMMD1,COMMD1,,,
2149,COMMD10,Commd10,True,True,COMMD10,True,True,COMMD10,COMMD10,,,
2150,COMMD2,Commd2,True,True,COMMD2,True,True,COMMD2,COMMD2,,,
2151,COMMD3,Commd3,True,True,COMMD3,True,True,COMMD3,COMMD3,,,
2152,COMMD4,Commd4,True,True,COMMD4,True,True,COMMD4,COMMD4,,,
2153,COMMD5,Commd5,True,True,COMMD5,True,True,COMMD5,COMMD5,,,
2154,COMMD7,Commd7,True,True,COMMD7,True,True,COMMD7,COMMD7,,,
2155,COMMD8,Commd8,True,True,COMMD8,True,True,COMMD8,COMMD8,,,
2156,COMMD9,Commd9,True,True,COMMD9,True,True,COMMD9,COMMD9,,,
2157,COMP,Comp,True,True,THBS4,True,True,COMP,THBS4,,,
2158,COMT,Comt,True,True,COMT,True,True,COMT,COMT,,,
2162,COPB1,Copb1,True,True,COPB1,True,True,COPB1,COPB1,,,
2163,COPB2,Copb2,True,True,COPB2,True,True,COPB2,COPB2,,,
2165,COPG1,Copg1,True,True,COPG1,True,True,COPG1,COPG1,,,
2166,COPG2,Copg2,True,True,COPG2,True,True,COPG2,COPG2,,,
2170,COPS5,Cops5,True,True,COPS5,True,True,COPS5,COPS5,,,
2171,COPS7A,Cops7a,True,True,COPS7A,True,True,COPS7A,COPS7A,,,
2172,COPS7B,Cops7b,True,True,COPS7B,True,True,COPS7B,COPS7B,,,
2175,COPZ1,Copz1,True,True,COPZ1,False,True,COPZ1,COPZ1,,,
2176,COQ10A,Coq10a,True,True,COQ10A,False,True,COQ10A,COQ10A,,,
2177,COQ10B,Coq10b,True,True,COQ10B,True,True,COQ10B,COQ10B,,,
2179,COQ3,Coq3,True,True,COQ3,True,True,COQ3,COQ3,,,
2181,COQ5,Coq5,True,True,COQ5,True,True,COQ5,COQ5,,,
2182,COQ6,Coq6,True,True,COQ6,True,True,COQ6,COQ6,,,
2183,COQ7,Coq7,True,True,COQ7,True,True,COQ7,COQ7,,,
2186,CORIN,Corin,True,True,CORIN,True,True,CORIN,CORIN,,,
2187,CORO1B,Coro1b,True,True,CORO1B,True,True,CORO1B,CORO1B,,,
2188,CORO1C,Coro1c,True,True,CORO1C,True,True,CORO1C,CORO1C,,,
2189,CORO2A,Coro2a,True,True,CORO2A,True,True,CORO2A,CORO2A,,,
2190,CORO2B,Coro2b,True,True,CORO2B,True,True,CORO2B,CORO2B,,,
2191,CORO6,Coro6,True,True,CORO6,True,True,CORO6,CORO6,,,
2192,COTL1,Cotl1,True,True,COTL1,True,True,COTL1,COTL1,,,
2211,CP,Cp,True,True,CP,True,True,CP,CP,,,
2212,CPA1,Cpa1,True,True,CPA1,True,True,CPA1,CPA1,,,
2213,CPA2,Cpa2,True,True,CPA2,True,True,CPA2,CPA2,,,
2215,CPA6,Cpa6,True,True,CPA6,True,True,CPA6,CPA6,,,
2216,CPB1,Cpb1,True,True,CPB1,True,True,CPB1,CPB1,,,
2217,CPB2,Cpb2,True,True,CPB2,True,True,CPB2,CPB2,,,
2218,CPD,Cpd,True,True,CPD,True,True,CPD,CPD,,,
2221,CPEB2,Cpeb2,True,True,CPEB2,True,True,CPEB2,CPEB2,,,
2222,CPEB3,Cpeb3,True,True,CPEB3,True,True,CPEB3,CPEB3,,,
2223,CPEB4,Cpeb4,True,True,CPEB4,True,True,CPEB4,CPEB4,,,
2224,CPED1,Cped1,True,True,CPED1,True,True,CPED1,CPED1,,,
2227,CPLX1,Cplx1,True,True,CPLX1,True,True,CPLX1,CPLX1,,,
2229,CPLX3,Cplx3,True,True,CPLX3,True,True,CPLX3,CPLX3,,,
2230,CPLX4,Cplx4,True,True,CPLX4,True,True,CPLX4,CPLX4,,,
2231,CPM,Cpm,True,True,CPM,True,True,CPM,CPM,,,
